University,Latitude,Longitude,Address
Damodaram Sanjivayya National Law University,17.78903575,83.10977522,"Damodaram Sanjivayya National Law University, Bheemunipatnam - Narsipatnam Road, Lagisettipalem, Aripaka, Sabbavaram, Anakapalli, Andhra Pradesh, 531035, India"
Dayalbagh Educational Institute,27.2279653,78.01349,"Dayalbagh Educational Institute, Dayalbagh Road, Agra, Uttar Pradesh, 282005, India"
Dayananda Sagar University,12.65954,77.45076517,"Dayananda Sagar University, Kanakapura Road, Jakkasandra, Harohalli taluk, Ramanagara, Karnataka, 562112, India"
Defence Institute of Advanced Technology,18.4242379,73.7587028,"Defence Institute of Advanced Technology DIAT, Sinhagad Road, Gorhe, Haveli, Pune, Maharashtra, 411025, India"
Delhi Pharmaceutical Sciences & Research University,28.5170319,77.22417041,"Delhi Institute of Pharmaceutical Sciences and Research, Mehrauli Badarpur Road, Pushp Vihar, Sector 2, Hauz Khas Tehsil, South Delhi, Delhi, 110017, India"
Delhi Technological University,28.75081525,77.11627652,"Delhi Technological University, Shahbad Daulatpur Village, Monkey Bridge, Sector 27, Rohini, Alipur Tehsil, Delhi, 110042, India"
Dev Sanskriti Vishwavidyalaya,29.9994088,78.19369864,"Dev Sanskriti Vishwavidyalaya (DSVV), NH34, Rishikesh, Hardwar, Haridwar, Uttarakhand, 249202, India"
Dev Sanskriti Vishwavidyalaya,29.9994088,78.19369864,"Dev Sanskriti Vishwavidyalaya (DSVV), NH34, Rishikesh, Hardwar, Haridwar, Uttarakhand, 249202, India"
Dharmsinh Desai University,22.6797254,72.880186,"Dharmsinh Desai University (DDU), Nadiad, SH75, Nadiad, Nadlad City Taluka, Kheda, Gujarat, 387001, India"
Dhirubhai Ambani University,23.1881176,72.62799703,"Dhirubhai Ambani Institute of Information and Communication Technology, Reliance Circle, Gandhinagar, Gandhinagar Taluka, Gandhinagar, Gujarat, 382009, India"
DIT University,30.3983396,78.0753455,"DIT University, Dehradun-Mussoorie Road, Rājpur, Dehradun, Uttarakhand, 248009, India"
Doon University,30.26730765,78.04533212,"Doon University, way to univertsity, Dehradun, Uttarakhand, 248001, India"
Dr C V Raman University,22.01458055,82.95938931,"Dr. C. V. Raman University, Bilaspur - Kharagpur Highway, Ragja, Sakti, Sakti Tahsil, Sakti, Chhattisgarh, 495689, India"
Dr C. V. Raman University,22.01458055,82.95938931,"Dr. C. V. Raman University, Bilaspur - Kharagpur Highway, Ragja, Sakti, Sakti Tahsil, Sakti, Chhattisgarh, 495689, India"
Dr. B. R. Ambedkar University,18.28183295,83.8176417,"Dr. B.R Ambedkar University, Etcherla - Thotapalem Road, Etcherla, Srikakulam, Andhra Pradesh, 532401, India"
Dr. B.R. Ambedkar University,18.28183295,83.8176417,"Dr. B.R Ambedkar University, Etcherla - Thotapalem Road, Etcherla, Srikakulam, Andhra Pradesh, 532401, India"
Dr. B.R. Ambedkar University,18.28183295,83.8176417,"Dr. B.R Ambedkar University, Etcherla - Thotapalem Road, Etcherla, Srikakulam, Andhra Pradesh, 532401, India"
Dr. Babasaheb Ambedkar Marathwada University,18.23334845,76.04326493,"Dr. Babasaheb Ambedkar Marathwada University Sub Campus, NH52, Shingoli, Dharashiv, Maharashtra, 413501, India"
Dr. C.V. Raman University,22.01458055,82.95938931,"Dr. C. V. Raman University, Bilaspur - Kharagpur Highway, Ragja, Sakti, Sakti Tahsil, Sakti, Chhattisgarh, 495689, India"
Dr. M.G.R. Educational and Research Institute,13.06544775,80.15989369,"Dr. M.G.R. Educational and Research Institute, Service Road, Nolambur, Vanagaram, Ayanambakkam, Ambattur, Thiruvallur, Tamil Nadu, 600095, India"
Dr. N.T.R. University of Health Sciences,16.51660845,80.66971215,"Dr. N.T.R University of Health Sciences, Chennai-Kolkata Hwy, Ramavarappadu, Nidamanuru, Penamaluru, Krishna, Andhra Pradesh, 521108, India"
Dr. Y.S.R. Horticultural University,16.8840128,81.45384721,"Dr. Y.S.R. Horticultural University, Narsapuram - Aswaraopeta Road, Venkata Ramannagudem, Tadepalligudem, West Godavari, Andhra Pradesh, India"
Dravidian University,12.79766715,78.30355878,"Dravidian University, Kuppam - Gundla Sagaram - Gudipalli Road, Malakothamuru, Kuppam, Chittoor, Andhra Pradesh, 517426, India"
English & Foreign Languages University,17.42417835,78.52418526,"The English and Foreign Languages University (EFLU), Manikeshwari Nagar, Marredpally mandal, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Musheerabad mandal, Hyderabad, Telangana, 500007, India"
Era University,30.26802515,77.99611868,"Graphic Era (Deemed to be) University, 566/6, Bell Road, Mohabbewāla, Dehradun, Uttarakhand, 248001, India"
Eternal University,30.7558509,77.2987962,"Eternal University, Baru Sahib, Pachhad, Sirmaur, Himachal Pradesh, India"
Fakir Mohan University,21.54853255,86.81641868,"Fakir Mohan University, Singiri street, Nilagiri, Baleshwar, Odisha, 596019, India"
Flame University,18.5237945,73.73063777,"Foundation for Liberal And Management Education (FLAME) Pune, FLAME University Path, Lavale, Mulshi, Pune, Maharashtra, 412115, India"
Forest Research Institute,30.34191525,78.00439005,"Forest Research Institute, Troup Road, Dehradun, Uttarakhand, 248001, India"
Future University,17.4213524,78.5211463,"The Future School (Ekalavya School), Manikeshwar Nagar, Osmania University, Amberpet, Secunderabad, Telangana 500007, SVG sewer line road, Manikeshwari Nagar, Ward 143 Tarnaka, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Musheerabad mandal, Hyderabad, Telangana, 500061, India"
G. D. Goenka University,28.26414325,77.0648412,"G D Goenka University, G D Goenka Education City, NH248A, Sohna, Gurugram, Nuh, Haryana, 122103, India"
Galgotias University,28.3671232,77.54045994,"Galgotias University, Yamuna Expressway, Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, 110020, India"
Ganpat University,23.52513675,72.45558013,"Ganpat University, University Internal Road, Mahesana, Mahesana Taluka, Mahesana, Gujarat, 384001, India"
Garden City University,13.02543545,77.70674835,"Garden City University, Kittaganuru Road, Kitthaganur, Kittaganuru, Bangalore East, Bengaluru Urban, Karnataka, 560049, India"
Gati Shakti Vishwavidyalaya,22.2819829,73.20020699,"Gati Shakti Vishwavidyalaya, Lalbaug, Lalbaug Gate Rd, Manjalpur, Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390004, India"
Gauhati University,26.1534107,91.66576471,"Gauhati University, Gopinath Bardoloi Nagar, Flyover, Jalukbari, Guwahati, Kamrup Metropolitan, Assam, 781014, India"
Gautam Buddha University,28.4226598,77.5257227,"Gautam Buddha University, Yamuna Expressway, Gharbara, Gautam Buddha Nagar, Uttar Pradesh, 201312, India"
Geetanjali University,17.4052787,78.5161561,"Geetanjali High School, Vidyanagar, DD Colony, New Nallakunta, Hyderabad, Telangana 500013, Osmania University Main Road, DD Colony, Marredpally mandal, Hyderabad, Musheerabad mandal, Hyderabad, Telangana, 500007, India"
Goa University,15.4552727,73.83775024,"Goa University, MDR3, Bambolim, Cacra, Tiswadi, North Goa, Goa, 403206, India"
